"";"Origin";"Rating";"Price";"Titles";"Awards";"Vintage";"Country"
"N.KendallWines2012DryRiesling(FingerLakes)";"FingerLakes";90;23;"N.KendallWines2012DryRiesling(FingerLakes)";"";2012;"US"
"BrooklynWest2012Riesling(SantaYnezValley)";"CentralCoast";90;24;"BrooklynWest2012Riesling(SantaYnezValley)";"Editors’Choice";2012;"US"
"Bellangelo20121866ReserveRiesling(FingerLakes)";"FingerLakes";87;32;"Bellangelo20121866ReserveRiesling(FingerLakes)";"";2012;"US"
"HeronHill2012IngleVineyardRiesling(FingerLakes)";"FingerLakes";91;16;"HeronHill2012IngleVineyardRiesling(FingerLakes)";"";2012;"US"
"HighlandCellars2012OughtersonFamilyEstatesRiesling(SenecaLake)";"FingerLakes";86;12;"HighlandCellars2012OughtersonFamilyEstatesRiesling(SenecaLake)";"";2012;"US"
"Cutruzzola2012RivenRockVineyardRiesling(SanLuisObispoCounty)";"CentralCoast";91;28;"Cutruzzola2012RivenRockVineyardRiesling(SanLuisObispoCounty)";"Editors’Choice";2012;"US"
"Shaw2012RoadBlockReserveRiesling(FingerLakes)";"FingerLakes";92;25;"Shaw2012RoadBlockReserveRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"BloomerCreek2012TanzenDameAutenVineyard2ndHarvestRiesling(FingerLakes)";"FingerLakes";90;60;"BloomerCreek2012TanzenDameAutenVineyard2ndHarvestRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"Zocker2012ParagonVineyardRiesling(EdnaValley)";"CentralCoast";91;20;"Zocker2012ParagonVineyardRiesling(EdnaValley)";"CellarSelection";2012;"US"
"AnthonyRoad2012ArtSeriesRiesling(FingerLakes)";"FingerLakes";89;28;"AnthonyRoad2012ArtSeriesRiesling(FingerLakes)";"";2012;"US"
"ZeroOneVintners2012GoldenDeliciousRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;14;"ZeroOneVintners2012GoldenDeliciousRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"KennedyShah2012ReserveDuBrulVineyardRiesling(YakimaValley)";"ColumbiaValley";88;25;"KennedyShah2012ReserveDuBrulVineyardRiesling(YakimaValley)";"";2012;"US"
"KoenigVineyards2012SunnySlopeCuveeRiesling";"Idaho";88;12;"KoenigVineyards2012SunnySlopeCuveeRiesling";"BestBuy";2012;"US"
"Coiled2012DryRiesling";"Idaho";87;17;"Coiled2012DryRiesling";"";2012;"US"
"HatRanch2012Riesling";"Idaho";87;18;"HatRanch2012Riesling";"";2012;"US"
"OriginalHouseWine2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";87;11;"OriginalHouseWine2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Sawtooth2012Riesling";"Idaho";87;13;"Sawtooth2012Riesling";"";2012;"US"
"Sagelands2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";84;8;"Sagelands2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Serenity2012Semi-DryRiesling(FingerLakes)";"FingerLakes";84;17;"Serenity2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Tatomer2012VandenbergRiesling(SantaBarbaraCounty)";"CentralCoast";92;25;"Tatomer2012VandenbergRiesling(SantaBarbaraCounty)";"CellarSelection";2012;"US"
"Penner-Ash2012HylandVineyardOldVineRiesling(WillametteValley)";"WillametteValley";91;28;"Penner-Ash2012HylandVineyardOldVineRiesling(WillametteValley)";"";2012;"US"
"Tatomer2012Kick-OnRanchRiesling(SantaBarbaraCounty)";"CentralCoast";91;30;"Tatomer2012Kick-OnRanchRiesling(SantaBarbaraCounty)";"CellarSelection";2012;"US"
"Hyland2012Riesling(McMinnville)";"WillametteValley";89;28;"Hyland2012Riesling(McMinnville)";"";2012;"US"
"ForaSong2012CalicheLakeVineyardRiesling(ColumbiaValley(WA))";"ColumbiaValley";90;10;"ForaSong2012CalicheLakeVineyardRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Coquelicot2012Riesling(SantaYnezValley)";"CentralCoast";89;32;"Coquelicot2012Riesling(SantaYnezValley)";"";2012;"US"
"BrooklynWinery2012SkinFermentedRiesling(FingerLakes)";"FingerLakes";87;21;"BrooklynWinery2012SkinFermentedRiesling(FingerLakes)";"";2012;"US"
"Suhru2012DryRiesling(NewYork)";"NewYorkOther";86;16;"Suhru2012DryRiesling(NewYork)";"";2012;"US"
"Lafond2012SRHRiesling(Sta.RitaHills)";"CentralCoast";90;20;"Lafond2012SRHRiesling(Sta.RitaHills)";"CellarSelection";2012;"US"
"Claiborne&Churchill2012EstateRiesling(EdnaValley)";"CentralCoast";90;28;"Claiborne&Churchill2012EstateRiesling(EdnaValley)";"";2012;"US"
"StandingSun2012Riesling(SantaBarbaraCounty)";"CentralCoast";89;24;"StandingSun2012Riesling(SantaBarbaraCounty)";"";2012;"US"
"Roots2012HillsideVineyardRiesling(ColumbiaGorge(OR))";"OregonOther";89;15;"Roots2012HillsideVineyardRiesling(ColumbiaGorge(OR))";"";2012;"US"
"CoeurdeTerre2012DryRiesling(McMinnville)";"WillametteValley";86;19;"CoeurdeTerre2012DryRiesling(McMinnville)";"";2012;"US"
"KeukaLakeVineyards2012DryRiesling(FingerLakes)";"FingerLakes";88;18;"KeukaLakeVineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"Benmarl2012Semi-DryRiesling(SenecaLake)";"FingerLakes";87;18;"Benmarl2012Semi-DryRiesling(SenecaLake)";"";2012;"US"
"KeukaLakeVineyards2012FallingManVineyardDryRiesling(FingerLakes)";"FingerLakes";86;30;"KeukaLakeVineyards2012FallingManVineyardDryRiesling(FingerLakes)";"";2012;"US"
"KeukaLakeVineyards2012EastsideDryRiesling(FingerLakes)";"FingerLakes";86;24;"KeukaLakeVineyards2012EastsideDryRiesling(FingerLakes)";"";2012;"US"
"Tousey2012Riesling(HudsonRiverRegion)";"NewYorkOther";86;19;"Tousey2012Riesling(HudsonRiverRegion)";"";2012;"US"
"BrooklynWinery2012BarrelFermentedRiesling(FingerLakes)";"FingerLakes";85;26;"BrooklynWinery2012BarrelFermentedRiesling(FingerLakes)";"";2012;"US"
"BrooklynWinery2012Riesling(FingerLakes)";"FingerLakes";85;20;"BrooklynWinery2012Riesling(FingerLakes)";"";2012;"US"
"Tousey2012DryRiesling(HudsonRiverRegion)";"NewYorkOther";85;21;"Tousey2012DryRiesling(HudsonRiverRegion)";"";2012;"US"
"Brandborg2012Riesling(ElktonOregon)";"SouthernOregon";88;16;"Brandborg2012Riesling(ElktonOregon)";"";2012;"US"
"BarrageCellars2012ExclamationRiesling(YakimaValley)";"ColumbiaValley";91;18;"BarrageCellars2012ExclamationRiesling(YakimaValley)";"CellarSelection";2012;"US"
"Wagner2012SemiDryRiesling(FingerLakes)";"FingerLakes";90;15;"Wagner2012SemiDryRiesling(FingerLakes)";"BestBuy";2012;"US"
"Tierce2012DryRiesling(FingerLakes)";"FingerLakes";89;30;"Tierce2012DryRiesling(FingerLakes)";"";2012;"US"
"Joleté2012Riesling(AndersonValley)";"Mendocino/LakeCounties";88;18;"Joleté2012Riesling(AndersonValley)";"";2012;"US"
"SixMileCreek2012Riesling(FingerLakes)";"FingerLakes";88;15;"SixMileCreek2012Riesling(FingerLakes)";"";2012;"US"
"AlexandriaNicole2012DestinyRidgeVineyardRiesling(HorseHeavenHills)";"ColumbiaValley";87;16;"AlexandriaNicole2012DestinyRidgeVineyardRiesling(HorseHeavenHills)";"";2012;"US"
"AnthonyNappa2012LuminousRiesling(FingerLakes)";"FingerLakes";87;18;"AnthonyNappa2012LuminousRiesling(FingerLakes)";"";2012;"US"
"Influence2012Riesling(NewYork)";"NewYorkOther";86;19;"Influence2012Riesling(NewYork)";"";2012;"US"
"Fulkerson2012Semi-DryRiesling(FingerLakes)";"FingerLakes";84;13;"Fulkerson2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Kramer2012YamhillVineyardRiesling(Yamhill-CarltonDistrict)";"WillametteValley";89;20;"Kramer2012YamhillVineyardRiesling(Yamhill-CarltonDistrict)";"";2012;"US"
"Sutcliffe2012Riesling(Colorado)";"Colorado";87;25;"Sutcliffe2012Riesling(Colorado)";"";2012;"US"
"CarlsonCreek2012SweetAdelineRiesling(Arizona)";"Arizona";82;19;"CarlsonCreek2012SweetAdelineRiesling(Arizona)";"";2012;"US"
"Gård2012LawrenceVineyardsGrandKlasseRiesling(ColumbiaValley(WA))";"ColumbiaValley";91;22;"Gård2012LawrenceVineyardsGrandKlasseRiesling(ColumbiaValley(WA))";"";2012;"US"
"Gård2012LawrenceVineyardsRiesling(ColumbiaValley(WA))";"ColumbiaValley";90;14;"Gård2012LawrenceVineyardsRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Samson2012Riesling(YakimaValley)";"ColumbiaValley";90;15;"Samson2012Riesling(YakimaValley)";"BestBuy";2012;"US"
"Hazlitt1852Vineyards2012HomesteadReserveRiesling(FingerLakes)";"FingerLakes";89;24;"Hazlitt1852Vineyards2012HomesteadReserveRiesling(FingerLakes)";"";2012;"US"
"SheldrakePoint2012ReserveDryRiesling(FingerLakes)";"FingerLakes";89;30;"SheldrakePoint2012ReserveDryRiesling(FingerLakes)";"";2012;"US"
"RyanPatrick2012Ryan'sRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;10;"RyanPatrick2012Ryan'sRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Atwater2012Riesling(FingerLakes)";"FingerLakes";88;17;"Atwater2012Riesling(FingerLakes)";"";2012;"US"
"NineHats2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";88;12;"NineHats2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"ChateauLafayetteReneau2012DryRiesling(FingerLakes)";"FingerLakes";88;15;"ChateauLafayetteReneau2012DryRiesling(FingerLakes)";"";2012;"US"
"Treleaven2012Semi-DryRiesling(FingerLakes)";"FingerLakes";88;14;"Treleaven2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Glenora2012DryRiesling(FingerLakes)";"FingerLakes";88;15;"Glenora2012DryRiesling(FingerLakes)";"";2012;"US"
"ChateauLafayetteReneau2012SemidryRiesling(FingerLakes)";"FingerLakes";87;15;"ChateauLafayetteReneau2012SemidryRiesling(FingerLakes)";"";2012;"US"
"Hazlitt1852Vineyards2012DryRiesling(FingerLakes)";"FingerLakes";87;16;"Hazlitt1852Vineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"SwedishHill2012DryRiesling(FingerLakes)";"FingerLakes";87;16;"SwedishHill2012DryRiesling(FingerLakes)";"";2012;"US"
"Treleaven2012DryRiesling(CayugaLake)";"FingerLakes";87;16;"Treleaven2012DryRiesling(CayugaLake)";"";2012;"US"
"Hosmer2012Riesling(CayugaLake)";"FingerLakes";87;15;"Hosmer2012Riesling(CayugaLake)";"";2012;"US"
"LucasVineyards2012Semi-DryRiesling(FingerLakes)";"FingerLakes";87;13;"LucasVineyards2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"FoxRun2012Semi-DryRiesling(FingerLakes)";"FingerLakes";87;14;"FoxRun2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Hazlitt1852Vineyards2012Riesling(FingerLakes)";"FingerLakes";87;13;"Hazlitt1852Vineyards2012Riesling(FingerLakes)";"";2012;"US"
"StoneCap2012EstateGrownRiesling(ColumbiaValley(WA))";"ColumbiaValley";87;10;"StoneCap2012EstateGrownRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"KeukaSpring2012SemiSweetRiesling(FingerLakes)";"FingerLakes";86;14;"KeukaSpring2012SemiSweetRiesling(FingerLakes)";"";2012;"US"
"Glenora2012DalrympleVineyardSelectHarvestRiesling(FingerLakes)";"FingerLakes";86;25;"Glenora2012DalrympleVineyardSelectHarvestRiesling(FingerLakes)";"";2012;"US"
"Wagner2012CaywoodEastVineyardDryRiesling(FingerLakes)";"FingerLakes";86;15;"Wagner2012CaywoodEastVineyardDryRiesling(FingerLakes)";"";2012;"US"
"LucasVineyards2012DryRiesling(FingerLakes)";"FingerLakes";85;13;"LucasVineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"Lakewood2012DryRiesling(FingerLakes)";"FingerLakes";85;13;"Lakewood2012DryRiesling(FingerLakes)";"";2012;"US"
"SwedishHill2012Riesling(FingerLakes)";"FingerLakes";85;16;"SwedishHill2012Riesling(FingerLakes)";"";2012;"US"
"RoosterHill2012DryRiesling(FingerLakes)";"FingerLakes";85;16;"RoosterHill2012DryRiesling(FingerLakes)";"";2012;"US"
"McGregor2012Semi-DryRiesling(FingerLakes)";"FingerLakes";85;18;"McGregor2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"RoosterHill2012Medium-SweetRiesling(FingerLakes)";"FingerLakes";85;16;"RoosterHill2012Medium-SweetRiesling(FingerLakes)";"";2012;"US"
"Wagner2012SelectRiesling(FingerLakes)";"FingerLakes";85;13;"Wagner2012SelectRiesling(FingerLakes)";"";2012;"US"
"FourDegreesofRiesling20120DegreeDryRiesling(SenecaLake)";"FingerLakes";84;16;"FourDegreesofRiesling20120DegreeDryRiesling(SenecaLake)";"";2012;"US"
"FourDegreesofRiesling20122ndDegreeMediumSweetRiesling(FingerLakes)";"FingerLakes";84;14;"FourDegreesofRiesling20122ndDegreeMediumSweetRiesling(FingerLakes)";"";2012;"US"
"Fulkerson2012DryRiesling(FingerLakes)";"FingerLakes";83;13;"Fulkerson2012DryRiesling(FingerLakes)";"";2012;"US"
"McGregor2012DryRiesling(FingerLakes)";"FingerLakes";83;20;"McGregor2012DryRiesling(FingerLakes)";"";2012;"US"
"FourDegreesofRiesling20121stDegreeMediumDryRiesling(SenecaLake)";"FingerLakes";83;16;"FourDegreesofRiesling20121stDegreeMediumDryRiesling(SenecaLake)";"";2012;"US"
"Hosmer2012SingleWheelDryRiesling(FingerLakes)";"FingerLakes";82;18;"Hosmer2012SingleWheelDryRiesling(FingerLakes)";"";2012;"US"
"CharlesFournier2012GoldSealVineyardsRiesling(FingerLakes)";"FingerLakes";82;16;"CharlesFournier2012GoldSealVineyardsRiesling(FingerLakes)";"";2012;"US"
"Coquelicot2012Riesling(SantaYnezValley)1";"CentralCoast";91;29;"Coquelicot2012Riesling(SantaYnezValley)";"CellarSelection";2012;"US"
"Nacina2012TondréGrapefieldRiesling(SantaLuciaHighlands)";"CentralCoast";91;20;"Nacina2012TondréGrapefieldRiesling(SantaLuciaHighlands)";"";2012;"US"
"Navarro2012Riesling(AndersonValley)";"Mendocino/LakeCounties";90;20;"Navarro2012Riesling(AndersonValley)";"";2012;"US"
"Scratch2012Riesling(ArroyoSeco)";"CentralCoast";88;18;"Scratch2012Riesling(ArroyoSeco)";"";2012;"US"
"Firestone2012Riesling(CentralCoast)";"CentralCoast";86;15;"Firestone2012Riesling(CentralCoast)";"";2012;"US"
"Indigené2012I=MB2Riesling(California)";"CaliforniaOther";84;13;"Indigené2012I=MB2Riesling(California)";"";2012;"US"
"Schmidt2012SchmidtFamilyVineyardsEstateRiesling(SouthernOregon)";"SouthernOregon";81;22;"Schmidt2012SchmidtFamilyVineyardsEstateRiesling(SouthernOregon)";"";2012;"US"
"Januik2012BacchusVineyardRiesling(ColumbiaValley(WA))";"ColumbiaValley";95;20;"Januik2012BacchusVineyardRiesling(ColumbiaValley(WA))";"CellarSelection";2012;"US"
"PacificRim2012SolsticeVineyardRiesling(YakimaValley)";"ColumbiaValley";93;24;"PacificRim2012SolsticeVineyardRiesling(YakimaValley)";"CellarSelection";2012;"US"
"HermannJ.Wiemer2012HJWVineyardDryEstateBottledandGrownRiesling(SenecaLake)";"FingerLakes";92;39;"HermannJ.Wiemer2012HJWVineyardDryEstateBottledandGrownRiesling(SenecaLake)";"";2012;"US"
"BoundaryBreaks2012SingleCloneNo.239Riesling(FingerLakes)";"FingerLakes";92;20;"BoundaryBreaks2012SingleCloneNo.239Riesling(FingerLakes)";"Editors’Choice";2012;"US"
"HermannJ.Wiemer2012MagdalenaVineyardDryEstateBottledandGrownRiesling(SenecaLake)";"FingerLakes";92;36;"HermannJ.Wiemer2012MagdalenaVineyardDryEstateBottledandGrownRiesling(SenecaLake)";"Editors’Choice";2012;"US"
"HermannJ.Wiemer2012ReserveDryEstateBottledandGrownRiesling(SenecaLake)";"FingerLakes";91;29;"HermannJ.Wiemer2012ReserveDryEstateBottledandGrownRiesling(SenecaLake)";"";2012;"US"
"RedNewtCellars2012TangoOaksVineyardRiesling(FingerLakes)";"FingerLakes";91;20;"RedNewtCellars2012TangoOaksVineyardRiesling(FingerLakes)";"";2012;"US"
"HermannJ.Wiemer2012Semi-DryRiesling(SenecaLake)";"FingerLakes";91;18;"HermannJ.Wiemer2012Semi-DryRiesling(SenecaLake)";"";2012;"US"
"BoundaryBreaks2012OvidLineNorthRiesling(FingerLakes)";"FingerLakes";91;20;"BoundaryBreaks2012OvidLineNorthRiesling(FingerLakes)";"";2012;"US"
"BoundaryBreaks2012SingleCloneNo.198ReserveRiesling(FingerLakes)";"FingerLakes";91;25;"BoundaryBreaks2012SingleCloneNo.198ReserveRiesling(FingerLakes)";"";2012;"US"
"BloomerCreek2012TanzenDameMorehouseRoadVineyard1stHarvestRiesling(FingerLakes)";"FingerLakes";90;22;"BloomerCreek2012TanzenDameMorehouseRoadVineyard1stHarvestRiesling(FingerLakes)";"";2012;"US"
"BoundaryBreaks2012SingleCloneNo.110Semi-DryRiesling(FingerLakes)";"FingerLakes";90;20;"BoundaryBreaks2012SingleCloneNo.110Semi-DryRiesling(FingerLakes)";"";2012;"US"
"SheldrakePoint2012DryRiesling(FingerLakes)";"FingerLakes";90;16;"SheldrakePoint2012DryRiesling(FingerLakes)";"";2012;"US"
"Dr.KonstantinFrank2012SemiDryRiesling(FingerLakes)";"FingerLakes";90;15;"Dr.KonstantinFrank2012SemiDryRiesling(FingerLakes)";"BestBuy";2012;"US"
"Dr.KonstantinFrank2012ReserveRiesling(FingerLakes)";"FingerLakes";90;25;"Dr.KonstantinFrank2012ReserveRiesling(FingerLakes)";"";2012;"US"
"Bellangelo2012GibsonVineyardRiesling(FingerLakes)";"FingerLakes";90;22;"Bellangelo2012GibsonVineyardRiesling(FingerLakes)";"";2012;"US"
"LamoreauxLanding2012EstateBottledSemi-DryRiesling(FingerLakes)";"FingerLakes";90;14;"LamoreauxLanding2012EstateBottledSemi-DryRiesling(FingerLakes)";"BestBuy";2012;"US"
"Damiani2012Riesling(FingerLakes)";"FingerLakes";90;16;"Damiani2012Riesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012BullhornCreekVineyardRiesling(FingerLakes)";"FingerLakes";90;20;"RedNewtCellars2012BullhornCreekVineyardRiesling(FingerLakes)";"";2012;"US"
"HermannJ.Wiemer2012DryEstateBottledandGrownRiesling(SenecaLake)";"FingerLakes";90;19;"HermannJ.Wiemer2012DryEstateBottledandGrownRiesling(SenecaLake)";"";2012;"US"
"SevenHills2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";90;15;"SevenHills2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Glenora2012Riesling(FingerLakes)";"FingerLakes";89;14;"Glenora2012Riesling(FingerLakes)";"BestBuy";2012;"US"
"RedNewtCellars2012DryRiesling(FingerLakes)";"FingerLakes";89;17;"RedNewtCellars2012DryRiesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012LahomaVineyardsRiesling(FingerLakes)";"FingerLakes";89;20;"RedNewtCellars2012LahomaVineyardsRiesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012Semi-DryRiesling(FingerLakes)";"FingerLakes";89;15;"RedNewtCellars2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Bellangelo2012Semi-DryRiesling(FingerLakes)";"FingerLakes";89;18;"Bellangelo2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012DryReserveRiesling(FingerLakes)";"FingerLakes";88;24;"RedNewtCellars2012DryReserveRiesling(FingerLakes)";"";2012;"US"
"SilverThread2012Semi-dryRiesling(FingerLakes)";"FingerLakes";88;18;"SilverThread2012Semi-dryRiesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012SawmillCreekVineyardsNorthBlockRiesling(FingerLakes)";"FingerLakes";88;20;"RedNewtCellars2012SawmillCreekVineyardsNorthBlockRiesling(FingerLakes)";"";2012;"US"
"Knapp2012Riesling(FingerLakes)";"FingerLakes";88;17;"Knapp2012Riesling(FingerLakes)";"";2012;"US"
"KeukaSpring2012Riesling(FingerLakes)";"FingerLakes";88;15;"KeukaSpring2012Riesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012CircleRiesling(FingerLakes)";"FingerLakes";88;13;"RedNewtCellars2012CircleRiesling(FingerLakes)";"BestBuy";2012;"US"
"Atwater2012DryRiesling(FingerLakes)";"FingerLakes";87;16;"Atwater2012DryRiesling(FingerLakes)";"";2012;"US"
"Damiani2012DavisVineyardDryRiesling(FingerLakes)";"FingerLakes";87;22;"Damiani2012DavisVineyardDryRiesling(FingerLakes)";"";2012;"US"
"LamoreauxLanding2012YellowDogVineyardRiesling(FingerLakes)";"FingerLakes";87;20;"LamoreauxLanding2012YellowDogVineyardRiesling(FingerLakes)";"";2012;"US"
"SilverThread2012RandolphO'NeilVineyardRiesling(CayugaLake)";"FingerLakes";87;25;"SilverThread2012RandolphO'NeilVineyardRiesling(CayugaLake)";"";2012;"US"
"HeronHill2012ReserveRiesling(FingerLakes)";"FingerLakes";87;25;"HeronHill2012ReserveRiesling(FingerLakes)";"";2012;"US"
"LamoreauxLanding2012RedOakVineyardRiesling(FingerLakes)";"FingerLakes";87;20;"LamoreauxLanding2012RedOakVineyardRiesling(FingerLakes)";"";2012;"US"
"ThirstyOwlWineCompany2012Riesling(FingerLakes)";"FingerLakes";87;15;"ThirstyOwlWineCompany2012Riesling(FingerLakes)";"";2012;"US"
"LatahCreek2012Riesling(AncientLakes)";"ColumbiaValley";87;10;"LatahCreek2012Riesling(AncientLakes)";"BestBuy";2012;"US"
"StandingStone2012Riesling(FingerLakes)";"FingerLakes";87;14;"StandingStone2012Riesling(FingerLakes)";"";2012;"US"
"BloomerCreek2012TanzenDameAutenVineyard1stHarvestRiesling(FingerLakes)";"FingerLakes";87;22;"BloomerCreek2012TanzenDameAutenVineyard1stHarvestRiesling(FingerLakes)";"";2012;"US"
"HeronHill2012DryRiesling(FingerLakes)";"FingerLakes";87;14;"HeronHill2012DryRiesling(FingerLakes)";"";2012;"US"
"InspireMoore2012TimothyMooreDoyleSenecaRiesling(FingerLakes)";"FingerLakes";87;26;"InspireMoore2012TimothyMooreDoyleSenecaRiesling(FingerLakes)";"";2012;"US"
"LamoreauxLanding2012RoundRockVineyardRiesling(FingerLakes)";"FingerLakes";87;20;"LamoreauxLanding2012RoundRockVineyardRiesling(FingerLakes)";"";2012;"US"
"LatahCreek2012FamiligiaVineyardsSweetRiesling(AncientLakes)";"ColumbiaValley";87;13;"LatahCreek2012FamiligiaVineyardsSweetRiesling(AncientLakes)";"";2012;"US"
"Bellwether2012SawmillCreekVineyardRiesling(FingerLakes)";"FingerLakes";86;22;"Bellwether2012SawmillCreekVineyardRiesling(FingerLakes)";"";2012;"US"
"Lakewood20123GenerationsRiesling(FingerLakes)";"FingerLakes";86;20;"Lakewood20123GenerationsRiesling(FingerLakes)";"";2012;"US"
"Lakewood2012Riesling(FingerLakes)";"FingerLakes";86;13;"Lakewood2012Riesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012SawmillCreekVineyardsFredBlockRiesling(FingerLakes)";"FingerLakes";86;20;"RedNewtCellars2012SawmillCreekVineyardsFredBlockRiesling(FingerLakes)";"";2012;"US"
"StandingStone2012OldWestBlockRiesling(FingerLakes)";"FingerLakes";86;19;"StandingStone2012OldWestBlockRiesling(FingerLakes)";"";2012;"US"
"RedNewtCellars2012SawmillCreekVineyardsSouthBlockRiesling(FingerLakes)";"FingerLakes";86;20;"RedNewtCellars2012SawmillCreekVineyardsSouthBlockRiesling(FingerLakes)";"";2012;"US"
"Bellwether2012A&DVineyardDryRiesling(FingerLakes)";"FingerLakes";86;22;"Bellwether2012A&DVineyardDryRiesling(FingerLakes)";"";2012;"US"
"InspireMoore2012TimothyMooreSimmonsKeukaRiesling(FingerLakes)";"FingerLakes";86;26;"InspireMoore2012TimothyMooreSimmonsKeukaRiesling(FingerLakes)";"";2012;"US"
"ShenandoahVineyards2012JohannisbergRiesling(ShenandoahValley)";"Virginia";85;19;"ShenandoahVineyards2012JohannisbergRiesling(ShenandoahValley)";"";2012;"US"
"LeonardOakes2012ReserveSeriesRiesling(NewYork)";"NewYorkOther";85;17;"LeonardOakes2012ReserveSeriesRiesling(NewYork)";"";2012;"US"
"B.Lovely2012LateHarvestRiesling(Washington)";"WashingtonOther";85;10;"B.Lovely2012LateHarvestRiesling(Washington)";"BestBuy";2012;"US"
"Hosmer2012DryRiesling(CayugaLake)";"FingerLakes";85;15;"Hosmer2012DryRiesling(CayugaLake)";"";2012;"US"
"InspireMoore2012TimothyMooreRiceCanandaiguaRiesling(FingerLakes)";"FingerLakes";85;26;"InspireMoore2012TimothyMooreRiceCanandaiguaRiesling(FingerLakes)";"";2012;"US"
"ParadisePeak2012SweetRiesling(Washington)";"WashingtonOther";85;10;"ParadisePeak2012SweetRiesling(Washington)";"BestBuy";2012;"US"
"HeronHill2012Semi-DryRiesling(FingerLakes)";"FingerLakes";85;14;"HeronHill2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Pearmund2012VineyardKilaurwenRiesling(Virginia)";"Virginia";84;19;"Pearmund2012VineyardKilaurwenRiesling(Virginia)";"";2012;"US"
"ParadisePeak2012Riesling(Washington)";"WashingtonOther";84;9;"ParadisePeak2012Riesling(Washington)";"";2012;"US"
"Moonbeam2012Riesling(Washington)";"WashingtonOther";84;15;"Moonbeam2012Riesling(Washington)";"";2012;"US"
"Bellwether2012A&DVineyardWildFermentRiesling(FingerLakes)";"FingerLakes";84;27;"Bellwether2012A&DVineyardWildFermentRiesling(FingerLakes)";"";2012;"US"
"Bridgman2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";84;11;"Bridgman2012Riesling(ColumbiaValley(WA))";"";2012;"US"
"ElkCove2012EstateRiesling(WillametteValley)";"WillametteValley";91;19;"ElkCove2012EstateRiesling(WillametteValley)";"Editors’Choice";2012;"US"
"AnamCara2012NicholasEstateRiesling(ChehalemMountains)";"WillametteValley";89;22;"AnamCara2012NicholasEstateRiesling(ChehalemMountains)";"";2012;"US"
"AnamCara2012NicholasEstateDryRiesling(ChehalemMountains)";"WillametteValley";87;22;"AnamCara2012NicholasEstateDryRiesling(ChehalemMountains)";"";2012;"US"
"RedTailRidge2012RTREstateVineyardRiesling(FingerLakes)";"FingerLakes";91;16;"RedTailRidge2012RTREstateVineyardRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"RedTailRidge2012RTRVineyardDryRiesling(FingerLakes)";"FingerLakes";90;19;"RedTailRidge2012RTRVineyardDryRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"PacificRim2012DryRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;10;"PacificRim2012DryRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"PacificRim2012SweetRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;10;"PacificRim2012SweetRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Dr.KonstantinFrank2012DryRiesling(FingerLakes)";"FingerLakes";89;15;"Dr.KonstantinFrank2012DryRiesling(FingerLakes)";"";2012;"US"
"PacificRim2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";88;10;"PacificRim2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
